drug_name,adr_term,archetype,true_signal,demographic_minority_flag,T_confirmation,feature_extraction_date,years_since_approval,days_to_signal,notoriety_flag,stimulated_reporting_flag,ground_truth_confidence,temporal_cohort,S1,S2_raw,S2_corrected,S3,S4,S5,S6,S7,weber_factor,prr_raw,S1_score,S2_score,S3_score,S4_score,S5_score,S6_score,S7_score,prr_score,composite_probability,hdi_lower,hdi_upper,hdi_width,dci,uncertainty_flag
Bromfenac,Hepatotoxicity,silent_killer,1,0,1998-06-15,1997-12-16,6.886,719,0,0,0.8,2000-2005,100.0,46.47,46.47,31.29,85.95,57.4,50.0,72.56,1.0,16.744,1.0,0.4647,0.3129,0.8595,0.574,0.5,0.7256,0.7314788851954314,0.9981,0.9931,0.9995,0.0064,0.9963,False
Lumiracoxib,Hepatotoxicity,standard,1,1,2007-10-15,2007-04-17,0.714,37,0,0,0.8,2005-2010,53.56,67.1,67.1,47.33,81.17,30.97,100.0,68.2,0.30022750226538897,19.293,0.5356000000000001,0.6709999999999999,0.4733,0.8117,0.3097,1.0,0.682,0.7656178783566857,0.9987,0.9947,0.9997,0.005,0.9973,False
Rapacuronium,Bronchospasm,standard,1,0,2001-03-15,2000-09-15,4.419,1161,0,0,0.8,2000-2005,68.86,25.0,25.0,85.06,72.03,90.08,20.0,81.13,1.0,18.701,0.6886,0.25,0.8506,0.7203,0.9007999999999999,0.2,0.8112999999999999,0.7580878895210994,0.9992,0.9968,0.9998,0.003,0.9984,False
Albuterol,Asthma Mortality,negative,0,0,,2010-07-16,4.439,9999,0,0,0.8,unknown,72.35,45.7,45.7,21.9,0.0,13.84,0.0,35.01,1.0,2.899,0.7234999999999999,0.457,0.21899999999999997,0.0,0.1384,0.0,0.35009999999999997,0.34607844729310383,0.007,0.0032,0.0154,0.0122,0.986,False
Fingolimod,Bradycardia,standard,1,0,2010-09-15,2010-03-18,6.842,525,0,1,0.6,2010-2015,58.9,82.77,82.77,67.29,6.51,87.78,50.0,56.19,1.0,17.696,0.589,0.8277,0.6729,0.06509999999999999,0.8778,0.5,0.5619,0.7447709717502294,0.9755,0.911,0.9936,0.0826,0.951,False
Sertraline,Violent Behavior,negative,0,0,,2010-12-02,12.483,9999,0,0,0.8,unknown,13.01,85.14,85.14,30.49,10.66,10.76,0.0,32.19,1.0,1.497,0.1301,0.8514,0.3049,0.1066,0.1076,0.0,0.32189999999999996,0.23273921500521344,0.0023,0.001,0.005,0.0039,0.9954,False
Valdecoxib,Stevens-Johnson Syndrome,standard,1,0,2005-04-15,2004-10-16,4.758,1046,0,0,1.0,2005-2010,78.47,81.31,81.31,19.21,83.14,90.13,50.0,69.81,1.0,18.642,0.7847,0.8131,0.19210000000000002,0.8314,0.9013,0.5,0.6981,0.7573250720867758,0.9981,0.9925,0.9995,0.007,0.9961,False
Sildenafil,Hearing Loss Chronic,negative,0,1,,2013-08-15,5.436,9999,0,0,0.8,unknown,54.55,37.04,37.04,19.4,13.42,6.24,60.0,32.91,1.0,2.868,0.5455,0.3704,0.19399999999999998,0.13419999999999999,0.062400000000000004,0.6,0.32909999999999995,0.34404821168372834,0.049,0.0226,0.1027,0.0801,0.9021,False
Sertraline,Violent Behavior,negative,0,1,,2013-12-22,9.037,9999,0,0,0.8,unknown,38.41,41.36,41.36,0.0,7.61,5.72,2.0,35.32,1.0,3.326,0.38409999999999994,0.41359999999999997,0.0,0.0761,0.0572,0.02,0.3532,0.37250973576771496,0.0013,0.0006,0.0025,0.0019,0.9975,False
Statins,ALS,negative,0,0,,2014-02-23,11.684,9999,0,0,0.8,unknown,17.08,36.55,36.55,60.46,28.8,48.56,37.74,44.19,1.0,0.981,0.17079999999999998,0.3655,0.6046,0.28800000000000003,0.48560000000000003,0.3774,0.44189999999999996,0.17386370393102923,0.3211,0.1595,0.5409,0.3814,0.3579,True
Aprotinin,Renal Failure,standard,1,0,2007-11-15,2007-05-18,3.917,1065,0,0,1.0,2005-2010,46.33,56.71,56.71,65.68,78.69,99.7,30.0,53.8,1.0,10.124,0.4633,0.5671,0.6568,0.7868999999999999,0.997,0.3,0.5379999999999999,0.6127191695178181,0.9842,0.9475,0.9954,0.0479,0.9683,False
Gabapentin,Suicide,negative,0,0,,2014-01-18,13.21,9999,0,0,0.8,unknown,16.41,61.09,61.09,1.07,59.99,9.85,5.69,36.53,1.0,1.822,0.1641,0.6109,0.010700000000000001,0.5999,0.09849999999999999,0.056900000000000006,0.3653,0.26385856096873395,0.0055,0.0025,0.0121,0.0096,0.989,False
Warfarin,Alzheimer Disease,negative,0,0,,2010-02-11,12.343,9999,0,0,0.8,unknown,38.98,36.06,36.06,32.66,29.28,0.0,17.83,44.47,1.0,1.745,0.3898,0.36060000000000003,0.32659999999999995,0.2928,0.0,0.1783,0.4447,0.25682244567438406,0.0313,0.0143,0.0673,0.053,0.9374,False
ACE Inhibitors,Pancreatic Cancer,negative,0,0,,2013-09-26,7.796,9999,0,0,0.8,unknown,37.46,62.83,62.83,36.5,16.66,0.0,32.49,34.05,1.0,2.794,0.3746,0.6283,0.365,0.1666,0.0,0.3249,0.34049999999999997,0.3391353015288492,0.0208,0.0095,0.0448,0.0352,0.9584,False
Bupropion,Seizures Standard Dose,negative,0,0,,2013-07-07,6.295,9999,0,0,0.8,unknown,20.24,53.15,53.15,7.79,27.58,0.0,12.77,40.76,1.0,3.589,0.2024,0.5315,0.0779,0.2758,0.0,0.1277,0.40759999999999996,0.3875202711766658,0.0048,0.0023,0.0101,0.0078,0.9904,False
Hydroxychloroquine,Retinopathy Minor,negative,0,1,,2013-05-20,11.263,9999,0,0,0.8,unknown,28.99,37.3,37.3,0.0,61.59,0.0,0.0,34.94,1.0,3.697,0.2899,0.373,0.0,0.6159,0.0,0.0,0.3494,0.3934365741374468,0.003,0.0014,0.0063,0.0049,0.9941,False
Statins,ALS,negative,0,0,,2011-08-17,5.246,9999,0,0,0.8,unknown,37.3,99.35,99.35,0.0,10.31,70.3,0.0,24.16,1.0,3.895,0.373,0.9934999999999999,0.0,0.10310000000000001,0.703,0.0,0.2416,0.40393812552720315,0.0048,0.002,0.0118,0.0098,0.9904,False
Levothyroxine,Osteoporosis,negative,0,0,,2010-03-28,7.851,9999,0,0,0.8,unknown,33.51,49.79,49.79,3.61,27.68,0.0,27.11,38.25,1.0,3.049,0.33509999999999995,0.4979,0.0361,0.2768,0.0,0.2711,0.3825,0.3556795411807306,0.0087,0.0041,0.0183,0.0142,0.9826,False
Benfluorex,Valvular Heart Disease,silent_killer,1,0,2009-11-15,2009-05-18,0.591,1169,0,0,1.0,2005-2010,47.3,0.71,0.71,41.97,41.73,78.32,30.0,67.97,0.25584058527688425,4.076,0.473,0.0070999999999999995,0.41969999999999996,0.41729999999999995,0.7831999999999999,0.3,0.6797,0.4131728366414163,0.9312,0.7998,0.9787,0.1788,0.8624,False
Fluoride,IQ Reduction,negative,0,1,,2013-08-14,9.384,9999,0,0,0.8,unknown,9.65,79.27,79.27,26.63,9.14,14.29,66.92,29.38,1.0,2.796,0.0965,0.7927,0.2663,0.09140000000000001,0.1429,0.6692,0.2938,0.3392693383056769,0.029,0.0128,0.0646,0.0518,0.942,False
Duloxetine,Falls Elderly Low Risk,negative,0,0,,2013-08-19,10.454,9999,0,0,0.8,unknown,21.79,39.93,39.93,36.65,28.87,26.04,0.0,19.33,1.0,3.452,0.21789999999999998,0.3993,0.3665,0.2887,0.26039999999999996,0.0,0.19329999999999997,0.379811714177815,0.0014,0.0007,0.0028,0.002,0.9971,False
Tetrazepam,Cutaneous Reactions,standard,1,0,2013-07-15,2013-01-15,1.279,608,0,0,0.8,2010-2015,78.37,56.01,56.01,81.13,7.38,95.07,60.0,58.27,0.47244386382239023,14.572,0.7837000000000001,0.5600999999999999,0.8112999999999999,0.0738,0.9506999999999999,0.6,0.5827,0.6982696299901517,0.9954,0.9821,0.9988,0.0167,0.9908,False
PPIs,Dementia,negative,0,0,,2011-07-26,5.637,9999,0,0,0.8,unknown,0.0,63.34,63.34,25.24,27.47,7.17,0.0,24.65,1.0,3.244,0.0,0.6334000000000001,0.25239999999999996,0.2747,0.0717,0.0,0.2465,0.3676425039607259,0.0006,0.0003,0.0013,0.0009,0.9987,False
Rofecoxib,Myocardial Infarction,standard,1,1,2004-09-15,2004-03-18,4.624,1091,0,1,1.0,2000-2005,47.6,64.17,64.17,47.83,44.98,68.39,60.0,67.68,1.0,17.34,0.47600000000000003,0.6417,0.4783,0.4498,0.6839,0.6,0.6768000000000001,0.73988135247306,0.9906,0.9649,0.9975,0.0326,0.9812,False
Simvastatin,Cognitive Impairment,negative,0,0,,2013-09-03,4.097,9999,0,0,0.8,unknown,10.65,44.59,44.59,14.9,43.54,6.02,13.55,30.6,1.0,3.72,0.1065,0.4459,0.149,0.4354,0.0602,0.1355,0.306,0.3946789467675936,0.0027,0.0013,0.0053,0.004,0.9946,False
Levetiracetam,Suicidal Ideation,media_panic,1,0,2008-03-15,2007-09-16,1.457,791,0,0,0.8,2005-2010,38.58,100.0,100.0,15.61,38.77,38.51,30.0,51.49,0.517367604005873,13.451,0.3858,1.0,0.1561,0.38770000000000004,0.3851,0.3,0.5149,0.6792680718309592,0.3623,0.157,0.6341,0.4771,0.2755,True
Hydroxyethyl Starch,Renal Failure,standard,1,0,2013-06-15,2012-12-16,0.529,1048,0,0,1.0,2010-2015,83.22,55.27,55.27,66.45,42.07,67.97,60.0,64.67,0.23241035113242714,21.074,0.8321999999999999,0.5527000000000001,0.6645,0.4207,0.6797,0.6,0.6467,0.787013650757094,0.9971,0.9888,0.9992,0.0104,0.9941,False
Bupropion,Seizures Standard Dose,negative,0,1,,2012-07-17,7.39,9999,0,0,0.8,unknown,49.52,29.61,29.61,12.03,41.43,0.0,27.05,35.35,1.0,1.885,0.49520000000000003,0.2961,0.12029999999999999,0.4143,0.0,0.2705,0.35350000000000004,0.2694740303694312,0.0157,0.0075,0.0329,0.0255,0.9685,False
Insulin Glargine,Breast Cancer,negative,0,0,,2012-10-29,11.625,9999,0,0,0.8,unknown,10.47,12.34,12.34,25.79,65.41,0.32,27.07,46.37,1.0,1.904,0.1047,0.1234,0.2579,0.6541,0.0032,0.2707,0.4637,0.2711435339577524,0.0419,0.0187,0.0915,0.0728,0.9162,False
Omeprazole,Gastric Cancer,negative,0,1,,2012-02-28,9.785,9999,0,0,0.8,unknown,38.47,49.24,49.24,21.01,21.64,11.65,48.96,34.7,1.0,3.736,0.3847,0.4924,0.2101,0.2164,0.1165,0.48960000000000004,0.34700000000000003,0.3955396405776331,0.04,0.0187,0.0835,0.0648,0.9199,False
Lumiracoxib,Hepatotoxicity,standard,1,0,2007-10-15,2007-04-17,3.915,711,0,0,0.8,2005-2010,71.6,65.39,65.39,78.65,89.78,18.26,60.0,74.71,1.0,12.784,0.716,0.6539,0.7865000000000001,0.8978,0.1826,0.6,0.7471,0.6672494521095595,0.999,0.9961,0.9997,0.0037,0.998,False
Aripiprazole,Weight Gain Mild,negative,0,0,,2013-01-05,5.485,9999,0,0,0.8,unknown,44.96,52.54,52.54,5.27,77.43,47.87,32.7,43.62,1.0,0.898,0.4496,0.5254,0.0527,0.7743000000000001,0.47869999999999996,0.327,0.4362,0.1629779039167948,0.3455,0.1682,0.5795,0.4113,0.3091,True
PPIs,Dementia,negative,0,0,,2014-06-02,14.374,9999,0,0,0.8,unknown,16.43,30.53,30.53,40.07,29.42,56.53,0.0,38.81,1.0,3.429,0.1643,0.3053,0.4007,0.2942,0.5653,0.0,0.3881,0.3784943596061556,0.0262,0.0118,0.0574,0.0457,0.9476,False
Bromfenac,Hepatotoxicity,silent_killer,1,1,1998-06-15,1997-12-16,5.579,538,0,0,1.0,2000-2005,92.76,38.91,38.91,55.59,74.91,30.13,50.0,49.91,1.0,16.645,0.9276000000000001,0.38909999999999995,0.5559000000000001,0.7491,0.3013,0.5,0.4991,0.7300558888564759,0.9619,0.8907,0.9874,0.0966,0.9238,False
Antipsychotics,Stroke Long-term,negative,0,0,,2013-08-15,5.451,9999,0,0,0.8,unknown,44.31,25.33,25.33,53.58,35.39,0.0,13.81,20.96,1.0,3.416,0.44310000000000005,0.25329999999999997,0.5357999999999999,0.3539,0.0,0.1381,0.2096,0.37774673846502427,0.0052,0.0025,0.0107,0.0082,0.9896,False
Aspirin,Renal Cell Carcinoma,negative,0,0,,2013-12-05,11.793,9999,0,0,0.8,unknown,15.47,60.27,60.27,22.5,65.49,26.82,33.98,32.97,1.0,3.218,0.1547,0.6027,0.225,0.6548999999999999,0.2682,0.3398,0.3297,0.3660795814740296,0.0522,0.0234,0.1124,0.089,0.8956,False
Troglitazone,Hepatotoxicity,standard,1,1,2000-03-15,1999-09-16,4.14,668,0,0,0.8,2000-2005,100.0,76.87,76.87,72.36,82.48,31.68,80.0,60.66,1.0,2.511,1.0,0.7687,0.7236,0.8248000000000001,0.31679999999999997,0.8,0.6065999999999999,0.31941927605678005,0.9993,0.9972,0.9998,0.0026,0.9986,False
Venlafaxine,Suicidality Adults Low-risk,negative,0,0,,2011-01-18,8.049,9999,0,0,0.8,unknown,21.73,45.34,45.34,41.83,50.59,30.34,0.0,30.82,1.0,3.353,0.2173,0.4534,0.4183,0.5059,0.3034,0.0,0.30820000000000003,0.37409219023556023,0.0131,0.006,0.028,0.022,0.9739,False
Buflomedil,Cardiovascular Events,standard,1,1,2011-02-15,2010-08-18,6.791,476,0,0,0.8,2010-2015,78.47,77.05,77.05,50.38,52.6,58.38,60.0,65.66,1.0,7.508,0.7847,0.7705,0.5038,0.526,0.5838,0.6,0.6566,0.5445325142393221,0.9958,0.9855,0.9988,0.0133,0.9917,False
Sildenafil,Hearing Loss Chronic,negative,0,0,,2014-06-11,11.471,9999,0,0,0.8,unknown,7.64,57.14,57.14,0.0,64.64,0.05,66.44,36.61,1.0,2.474,0.0764,0.5714,0.0,0.6464,0.0005,0.6644,0.3661,0.31672479508101986,0.0534,0.023,0.1192,0.0962,0.8933,False
Dronedarone,Hepatotoxicity,masked_signal,1,1,2011-01-15,2010-07-18,3.583,636,0,0,1.0,2010-2015,66.15,22.92,22.92,70.08,80.04,21.74,60.0,58.9,1.0,7.868,0.6615000000000001,0.22920000000000001,0.7008,0.8004000000000001,0.21739999999999998,0.6,0.589,0.5550727564288923,0.9837,0.9495,0.9949,0.0454,0.9674,False
Mibefradil,Drug Interactions,standard,1,0,1998-06-15,1997-12-16,3.688,1154,0,0,0.6,2000-2005,68.37,44.88,44.88,80.25,15.57,69.87,20.0,71.99,1.0,14.523,0.6837000000000001,0.44880000000000003,0.8025,0.1557,0.6987000000000001,0.2,0.7199,0.6974680596769435,0.9825,0.9413,0.9949,0.0536,0.9649,False
Rosuvastatin,Parkinson Disease,negative,0,0,,2011-02-07,13.451,9999,0,0,0.8,unknown,25.6,13.83,13.83,33.16,33.27,0.0,22.26,35.52,1.0,1.783,0.256,0.1383,0.33159999999999995,0.33270000000000005,0.0,0.22260000000000002,0.3552,0.260319143866652,0.0089,0.0044,0.018,0.0136,0.9822,False
Aripiprazole,Weight Gain Mild,negative,0,0,,2014-03-24,9.621,9999,0,0,0.8,unknown,42.66,21.53,21.53,0.0,21.06,44.44,0.0,43.65,1.0,1.632,0.4266,0.21530000000000002,0.0,0.21059999999999998,0.44439999999999996,0.0,0.4365,0.24613095896435513,0.0122,0.0056,0.0266,0.021,0.9756,False
Cisapride,QT Prolongation,standard,1,1,2000-03-15,1999-09-16,6.674,113,0,0,0.8,2000-2005,23.91,56.01,56.01,83.94,42.34,74.71,100.0,66.89,1.0,4.505,0.2391,0.5600999999999999,0.8393999999999999,0.42340000000000005,0.7471,1.0,0.6689,0.43380783623225155,0.9991,0.9966,0.9998,0.0032,0.9982,False
Ranolazine,QT Prolongation,masked_signal,1,0,2006-01-15,2005-07-18,5.161,760,0,0,1.0,2005-2010,57.67,21.19,21.19,67.38,52.47,32.28,30.0,62.58,1.0,24.05,0.5767,0.2119,0.6738,0.5246999999999999,0.32280000000000003,0.3,0.6258,0.819180230355017,0.9098,0.7725,0.9677,0.1953,0.8197,False
Alosetron,Ischemic Colitis,standard,1,0,2000-11-15,2000-05-18,0.648,1107,1,0,1.0,2000-2005,71.05,75.27,75.27,100.0,40.72,61.32,10.0,96.52,0.27674975762015763,22.478,0.7105,0.7526999999999999,1.0,0.4072,0.6132,0.1,0.9652,0.802696789549521,0.9996,0.9977,0.9999,0.0022,0.9991,False
Adalimumab,Demyelinating Disease,silent_killer,1,0,2008-02-15,2007-08-18,3.803,664,0,0,0.8,2005-2010,79.35,41.37,41.37,53.15,74.41,41.11,80.0,57.58,1.0,3.918,0.7935,0.41369999999999996,0.5315,0.7441,0.4111,0.8,0.5758,0.4051303624800609,0.9952,0.984,0.9986,0.0146,0.9903,False
Albuterol,Asthma Mortality,negative,0,0,,2010-05-21,12.092,9999,0,0,0.8,unknown,23.61,34.17,34.17,9.42,25.39,55.79,58.06,31.36,1.0,1.229,0.2361,0.3417,0.0942,0.2539,0.5579,0.5806,0.3136,0.20386281826245256,0.0648,0.0299,0.1347,0.1047,0.8704,False
Vaccines,Autism,negative,0,0,,2012-12-21,13.578,9999,0,0,0.8,unknown,20.52,40.75,40.75,28.13,0.0,28.25,0.0,39.22,1.0,1.753,0.2052,0.4075,0.2813,0.0,0.2825,0.0,0.3922,0.25756259833394135,0.0044,0.0021,0.0092,0.0071,0.9912,False
Valproate,Pancreatic Cancer,negative,0,0,,2013-03-07,9.283,9999,0,0,0.8,unknown,20.9,37.53,37.53,23.23,83.33,0.0,28.88,47.94,1.0,1.601,0.209,0.3753,0.2323,0.8332999999999999,0.0,0.2888,0.4794,0.2431175936467414,0.1303,0.0565,0.2726,0.2161,0.7393,False
Nimesulide,Hepatotoxicity,silent_killer,1,1,2002-03-15,2001-09-15,2.853,980,0,0,0.8,2000-2005,80.67,11.51,11.51,23.88,81.81,33.8,25.0,60.11,1.0,21.773,0.8067,0.1151,0.23879999999999998,0.8181,0.33799999999999997,0.25,0.6011,0.7949425828268631,0.8498,0.6546,0.9441,0.2895,0.6996,False
Amlodipine,Cancer,negative,0,0,,2014-06-20,4.862,9999,0,0,0.8,unknown,14.3,84.48,84.48,0.0,16.52,0.0,12.94,36.88,1.0,1.103,0.14300000000000002,0.8448,0.0,0.16519999999999999,0.0,0.1294,0.3688,0.1890635460874932,0.0021,0.001,0.0046,0.0037,0.9958,False
Insulin Glargine,Breast Cancer,negative,0,0,,2011-12-14,12.062,9999,0,0,0.8,unknown,56.39,3.05,3.05,0.0,24.99,27.58,0.86,44.39,1.0,3.894,0.5639,0.0305,0.0,0.24989999999999998,0.2758,0.0086,0.4439,0.4038861621440121,0.0112,0.0051,0.0245,0.0193,0.9776,False
Valproate,Pancreatic Cancer,negative,0,0,,2012-09-12,3.574,9999,0,0,0.8,unknown,14.1,34.94,34.94,31.7,0.0,20.23,0.0,46.86,1.0,2.669,0.141,0.3494,0.317,0.0,0.2023,0.0,0.4686,0.33061464744367186,0.007,0.0032,0.015,0.0118,0.9861,False
Paracetamol,Autism Spectrum Disorder,negative,0,1,,2011-03-07,11.89,9999,0,0,0.8,unknown,12.65,2.34,2.34,21.86,73.64,2.71,8.12,29.94,1.0,1.168,0.1265,0.023399999999999997,0.2186,0.7364,0.0271,0.0812,0.2994,0.19680554425839006,0.0034,0.0016,0.007,0.0054,0.9932,False
Celecoxib,Colorectal Cancer,negative,0,0,,2012-08-28,7.05,9999,0,0,0.8,unknown,20.91,82.08,82.08,43.04,39.39,43.55,31.68,29.99,1.0,2.715,0.2091,0.8208,0.4304,0.39390000000000003,0.4355,0.31679999999999997,0.2999,0.3337835399532678,0.081,0.0353,0.1749,0.1395,0.8381,False
Oral Contraceptives,Multiple Sclerosis,negative,0,1,,2011-05-20,3.919,9999,0,0,0.8,unknown,44.53,65.68,65.68,15.88,0.0,28.6,23.38,26.45,1.0,3.15,0.44530000000000003,0.6568,0.1588,0.0,0.28600000000000003,0.23379999999999998,0.2645,0.361945942464531,0.0057,0.0027,0.012,0.0093,0.9886,False
Sildenafil,Hearing Loss Chronic,negative,0,0,,2014-03-14,8.944,9999,0,0,0.8,unknown,26.04,84.95,84.95,38.17,74.04,0.0,51.09,43.94,1.0,0.773,0.26039999999999996,0.8495,0.38170000000000004,0.7404000000000001,0.0,0.5109,0.43939999999999996,0.14565066729453893,0.4079,0.2012,0.6532,0.452,0.1842,True
Duloxetine,Falls Elderly Low Risk,negative,0,0,,2010-03-03,10.092,9999,0,0,0.8,unknown,0.0,35.19,35.19,0.0,31.29,37.55,51.01,31.58,1.0,1.542,0.0,0.3519,0.0,0.3129,0.37549999999999994,0.5101,0.31579999999999997,0.23728192954498573,0.0124,0.0059,0.0259,0.0199,0.9751,False
Esomeprazole,Kidney Disease Chronic,negative,0,0,,2011-11-18,12.331,9999,0,0,0.8,unknown,14.31,47.59,47.59,0.0,31.99,20.64,15.46,27.14,1.0,3.247,0.1431,0.47590000000000005,0.0,0.31989999999999996,0.2064,0.15460000000000002,0.27140000000000003,0.36782222469236675,0.0016,0.0008,0.0031,0.0023,0.9968,False
Metformin,Pancreatitis,negative,0,0,,2012-06-14,11.627,9999,0,0,0.8,unknown,39.13,18.19,18.19,20.58,48.9,30.78,65.1,36.86,1.0,1.273,0.39130000000000004,0.1819,0.20579999999999998,0.489,0.3078,0.6509999999999999,0.3686,0.208834424913567,0.2323,0.1143,0.4149,0.3005,0.5354,True
Montelukast,Neuropsychiatric Events,negative,0,1,,2011-05-18,13.073,9999,0,0,0.8,unknown,31.0,57.0,57.0,37.48,46.96,27.49,46.01,28.87,1.0,1.853,0.31,0.57,0.37479999999999997,0.4696,0.2749,0.46009999999999995,0.2887,0.26663722406859536,0.088,0.0407,0.1802,0.1396,0.824,False
Losartan,Alzheimer Disease,negative,0,1,,2013-12-17,10.741,9999,0,0,0.8,unknown,22.65,26.13,26.13,0.0,62.5,11.06,43.6,35.25,1.0,1.417,0.22649999999999998,0.2613,0.0,0.625,0.1106,0.436,0.3525,0.22445733462240314,0.024,0.0111,0.051,0.0398,0.952,False
Pergolide,Cardiac Valvulopathy,standard,1,0,2007-01-15,2006-07-18,6.954,152,0,0,1.0,2005-2010,31.3,91.92,91.92,56.84,79.39,63.44,100.0,73.2,1.0,7.038,0.313,0.9192,0.5684,0.7939,0.6344,1.0,0.732,0.5300795332022138,0.9997,0.9987,0.9999,0.0012,0.9994,False
Efalizumab,PML,silent_killer,1,0,2009-02-15,2008-08-18,3.354,819,0,0,0.6,2005-2010,61.83,36.85,36.85,51.56,61.27,41.4,40.0,63.59,1.0,16.293,0.6183,0.3685,0.5156000000000001,0.6127,0.414,0.4,0.6359,0.724930874762327,0.9591,0.8847,0.9862,0.1015,0.9182,False
Montelukast,Neuropsychiatric Events,negative,0,0,,2011-04-18,8.619,9999,0,0,0.8,unknown,26.03,57.03,57.03,35.39,38.28,4.23,37.58,32.18,1.0,1.441,0.26030000000000003,0.5703,0.3539,0.38280000000000003,0.042300000000000004,0.37579999999999997,0.3218,0.22697033764248642,0.0283,0.0131,0.06,0.0469,0.9433,False
Dronedarone,Hepatotoxicity,masked_signal,1,0,2011-01-15,2010-07-18,2.567,574,0,0,0.8,2010-2015,29.95,26.03,26.03,95.38,91.75,34.95,60.0,54.42,1.0,10.753,0.2995,0.26030000000000003,0.9538,0.9175,0.34950000000000003,0.6,0.5442,0.6267084955757204,0.9849,0.9514,0.9954,0.0441,0.9698,False
Paracetamol,Autism Spectrum Disorder,negative,0,0,,2012-06-25,9.302,9999,0,0,0.8,unknown,32.23,55.36,55.36,0.0,24.77,5.36,73.84,30.74,1.0,2.137,0.3223,0.5536,0.0,0.2477,0.0536,0.7384000000000001,0.3074,0.2907725407996748,0.0323,0.0145,0.0701,0.0556,0.9354,False
Mibefradil,Drug Interactions,standard,1,0,1998-06-15,1997-12-16,1.928,635,1,0,1.0,2000-2005,34.46,54.58,54.58,69.49,54.31,27.53,50.0,77.87,0.6186356265058104,4.606,0.3446,0.5458,0.6949,0.5431,0.2753,0.5,0.7787000000000001,0.43843181609967924,0.9897,0.9593,0.9975,0.0382,0.9794,False
Antidepressants,Type 2 Diabetes,negative,0,0,,2011-05-16,5.075,9999,0,0,0.8,unknown,17.54,41.36,41.36,0.0,24.69,7.89,39.43,32.09,1.0,0.66,0.1754,0.41359999999999997,0.0,0.2469,0.0789,0.3943,0.3209,0.12890134245787563,0.0047,0.0023,0.0094,0.007,0.9906,False
Rivaroxaban,Fatal Bleeding,standard,1,0,2013-03-15,2012-09-15,7.199,34,0,0,1.0,2010-2015,45.97,98.69,98.69,72.48,93.68,100.0,100.0,72.83,1.0,3.202,0.4597,0.9869,0.7248,0.9368000000000001,1.0,1.0,0.7283,0.36511298732953273,1.0,0.9999,1.0,0.0001,0.9999,False
Aspirin,Renal Cell Carcinoma,negative,0,1,,2014-05-01,11.528,9999,0,0,0.8,unknown,28.97,73.18,73.18,31.87,43.6,5.65,26.01,42.82,1.0,2.916,0.2897,0.7318000000000001,0.3187,0.436,0.0565,0.2601,0.4282,0.3471849599094299,0.0703,0.0307,0.1532,0.1226,0.8593,False
Aripiprazole,Weight Gain Mild,negative,0,0,,2013-08-15,6.937,9999,0,0,0.8,unknown,40.6,97.92,97.92,0.0,45.74,48.8,7.01,30.93,1.0,3.086,0.406,0.9792000000000001,0.0,0.45740000000000003,0.488,0.0701,0.3093,0.3579931125837187,0.0205,0.0084,0.0492,0.0409,0.9591,False
Insulin Glargine,Breast Cancer,negative,0,0,,2013-02-12,10.974,9999,0,0,0.8,unknown,16.2,70.63,70.63,5.36,49.28,2.83,23.57,36.94,1.0,3.845,0.162,0.7062999999999999,0.0536,0.4928,0.028300000000000002,0.2357,0.36939999999999995,0.4013268625672458,0.0101,0.0046,0.0223,0.0177,0.9798,False
Esomeprazole,Kidney Disease Chronic,negative,0,0,,2014-02-12,14.007,9999,0,0,0.8,unknown,53.34,0.0,0.0,20.04,28.57,53.54,9.43,33.67,1.0,1.457,0.5334,0.0,0.2004,0.2857,0.5354,0.0943,0.3367,0.22863198358981504,0.0221,0.0102,0.0471,0.0369,0.9558,False
Oral Contraceptives,Multiple Sclerosis,negative,0,0,,2011-05-09,11.947,9999,0,0,0.8,unknown,19.82,70.17,70.17,36.67,48.28,17.41,23.99,35.09,1.0,0.558,0.19820000000000002,0.7017,0.3667,0.4828,0.1741,0.23989999999999997,0.35090000000000005,0.11277279026774306,0.0404,0.018,0.0882,0.0702,0.9191,False
Codeine (Ped.),Respiratory Depression,silent_killer,1,0,2012-08-15,2012-02-16,1.644,633,0,0,0.8,2010-2015,83.54,33.0,33.0,9.78,88.75,56.41,60.0,45.58,0.5604483285266524,12.127,0.8354,0.33,0.0978,0.8875,0.5640999999999999,0.6,0.4558,0.6548284228050328,0.9234,0.7838,0.9757,0.1919,0.8468,False
Vaccines,Autism,negative,0,0,,2010-02-10,6.278,9999,0,0,0.8,unknown,24.05,56.14,56.14,15.28,19.76,2.84,54.86,39.91,1.0,2.841,0.24050000000000002,0.5614,0.1528,0.19760000000000003,0.028399999999999998,0.5486,0.39909999999999995,0.34226664025060594,0.0391,0.0178,0.0838,0.0661,0.9218,False
Prasugrel,Bleeding,standard,1,0,2009-07-15,2009-01-15,3.453,1156,0,0,1.0,2005-2010,52.86,61.86,61.86,64.88,81.01,48.0,30.0,75.47,1.0,2.125,0.5286,0.6186,0.6487999999999999,0.8101,0.48,0.3,0.7547,0.2897977656244286,0.9945,0.9804,0.9985,0.018,0.989,False
Amlodipine,Cancer,negative,0,0,,2012-01-25,6.908,9999,0,0,0.8,unknown,25.77,0.0,0.0,22.31,68.5,29.66,54.43,38.63,1.0,1.881,0.2577,0.0,0.2231,0.685,0.2966,0.5443,0.38630000000000003,0.269121155143703,0.1785,0.0844,0.3388,0.2544,0.643,False
